"Art (Niveau 1)","Slægt (Niveau 2)","Tribus (Niveau 3)","Underfamilie (Niveau 4)","Familie (Niveau 5)","Overfamilie (Niveau 6)","Orden (Niveau 7)",Referencetekst,Den_danske_roedliste,Dansk,Autor,Dansk_navn,Familie_dk,Synonymer
"Philonthus ventralis",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Philopedon plagiatus",Philopedon,Brachyderini,Brachycerinae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Schaller, 1783)",Sandgråsnude,Snudebiller,
"Philorhizus melanocephalus",Philorhizus,Lebiini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Dejean, 1825)","Bleggul sivløber",Løbebiller,
"Philorhizus notatus",Philorhizus,Lebiini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Stephens, 1827)","Sortbuget sivløber",Løbebiller,nigriventris
"Philorhizus quadrisignatus",Philorhizus,Lebiini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",RE,Ja,"(Dejean, 1825)",Risgærdebarkløber,Løbebiller,
"Philorhizus sigma",Philorhizus,Lebiini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Rossi, 1790)","Båndtegnet sivløber",Løbebiller,
"Philorinum sordidum",Philorinum,Anthophagini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Stephens, 1834)",,Rovbiller,
"Phloeocharis subtilissima",Phloeocharis,Phloeocharini,Phloeocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Mannerheim, 1830",,Rovbiller,
"Phloeonomus punctipennis",Phloeonomus,Omaliini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Thomson, 1867",,Rovbiller,
"Phloeonomus pusillus",Phloeonomus,Omaliini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1806)",,Rovbiller,
"Phloeophagus lignarius",Phloeophagus,Rhyncolini,Cossoninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Marsham, 1802)",,Snudebiller,
"Phloeophagus thomsoni",Phloeophagus,Rhyncolini,Cossoninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Grill, 1896)",,Snudebiller,
"Phloeopora concolor",Phloeopora,Oxypodini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Kraatz, 1856)",,Rovbiller,
"Phloeopora corticalis",Phloeopora,Oxypodini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,angustiformis
"Phloeopora scribae",Phloeopora,Oxypodini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Eppelsheim, 1884",,Rovbiller,bernhaueri
"Phloeopora teres",Phloeopora,Oxypodini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,corticalis
"Phloeopora testacea",Phloeopora,Oxypodini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Mannerheim, 1830",,Rovbiller,
"Phloeostiba lapponica",Phloeostiba,Omaliini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Zetterstedt, 1838)",,Rovbiller,
"Phloeostiba plana",Phloeostiba,Omaliini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Paykull, 1792)",,Rovbiller,planus
"Phloeostichus denticollis",Phloeostichus,,Phloeostichinae,Phloeostichidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Redtenbacher, 1842",,,
"Phloeotribus rhododactylus",Phloeotribus,Hylesinini,Scolytinae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Marsham, 1802)",,Snudebiller,
"Phloeotribus spinulosus",Phloeotribus,Hylesinini,Scolytinae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Rey, 1883)",,Snudebiller,
"Phloiophilus edwardsii",Phloiophilus,,,Phloiophilidae,Cleroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Stephens, 1830",,,
